taxonomy_slug,category_slug,sub_category_slug,tag,product_id
health-areas,immune-support,mushroom-immune,,1111
health-areas,respiratory-health,cough-congestion,,1113
health-areas,womens-health,menstrual-support,,1115
health-areas,mens-health,male-vitality,,1117
health-areas,energy-vitality,daily-energy-support,,1119
health-areas,immune-support,mushroom-immune,,1121
health-areas,liver-detoxification,daily-liver,,3671
health-areas,liver-detoxification,daily-liver,,3675
health-areas,stress-mood-anxiety,adaptogenic-support,,3677
health-areas,gut-health,digestive-support,,3678
health-areas,stress-mood-anxiety,stress-anxiety-relief,,3679
health-areas,stress-mood-anxiety,adaptogenic-support,,3680
health-areas,stress-mood-anxiety,mood-balance,,3681
health-areas,stress-mood-anxiety,mood-balance,,3683
health-areas,pain-inflammation,muscle-recovery,,3685
health-areas,immune-support,daily-immune,,3922
health-areas,blood-sugar-metabolism,blood-sugar-control,,4045
health-areas,respiratory-health,lung-support,,4047
health-areas,skin-hair-nails,clear-skin,,4049
health-areas,eye-vision,general-eye-health,,4052
health-areas,immune-support,daily-immune,,4054
health-areas,womens-health,pregnancy-lactation,,4056
health-areas,gut-health,digestive-support,,4058
health-areas,sleep-relaxation,general-sleep-support,,4060
health-areas,womens-health,menstrual-support,,4065
health-areas,stress-mood-anxiety,adaptogenic-support,,4076
health-areas,gut-health,digestive-support,,4080
health-areas,gut-health,digestive-support,,4083
health-areas,womens-health,menstrual-support,,4086
health-areas,mens-health,prostate-health,,4089
health-areas,immune-support,antiviral-herbs,,4092
health-areas,immune-support,antiviral-herbs,,4097
health-areas,immune-support,antiviral-herbs,,4108
health-areas,gut-health,digestive-support,,4110
health-areas,eye-vision,macular-support,,4112
health-areas,eye-vision,macular-support,,4121
health-areas,sleep-relaxation,general-sleep-support,,4122
health-areas,sleep-relaxation,general-sleep-support,,4124
health-areas,sleep-relaxation,general-sleep-support,,4126
health-areas,stress-mood-anxiety,adaptogenic-support,,4130
health-areas,immune-support,seasonal-support,,4132
health-areas,blood-sugar-metabolism,blood-sugar-control,,4135
health-areas,immune-support,seasonal-support,,4137
health-areas,stress-mood-anxiety,stress-anxiety-relief,,4146
health-areas,immune-support,seasonal-support,,4148
health-areas,pain-inflammation,general-inflammation,,4175
health-areas,gut-health,digestive-support,,4177
health-areas,gut-health,digestive-support,,4179
health-areas,respiratory-health,cough-congestion,,4183
health-areas,immune-support,daily-immune,,4185
